variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',1.667332991,-4452.715918,'CanESM5'
'NEP','GLB','SSP126',1.719955786,-1358.237983,'CanESM5'
'NEP','GLB','SSP126',1.749637069,-3828.67725,'CanESM5'
'NEP','GLB','SSP126',1.913437597,-7106.995506,'CanESM5'
'NEP','GLB','SSP126',-0.105593683,831.1023374,'NorESM2-LM'
'NEP','GLB','SSP126',-0.09365945,-248.9251163,'NorESM2-LM'
'NEP','GLB','SSP126',-0.003314916,-477.1323715,'NorESM2-LM'
'NEP','GLB','SSP126',0.137866505,-415.9217775,'NorESM2-LM'
'NEP','GLB','SSP126',0.064701544,310.876928,'NorESM2-LM'
'NEP','GLB','SSP126',-0.248446012,430.4748058,'NorESM2-LM'
'NEP','GLB','SSP126',-0.050448073,638.320701,'NorESM2-LM'
'NEP','GLB','SSP126',0.106663904,31.11652681,'NorESM2-LM'
'NEP','GLB','SSP126',0.10379378,319.2319703,'NorESM2-LM'
'NEP','GLB','SSP126',-0.041647759,1248.497251,'NorESM2-LM'
'NEP','GLB','SSP126',-0.181647717,1563.996782,'NorESM2-LM'
'NEP','GLB','SSP126',0.075516739,-45.67361546,'NorESM2-LM'
'NEP','GLB','SSP126',0.042638542,1375.88251,'NorESM2-LM'
'NEP','GLB','SSP126',-0.067758705,888.6945126,'NorESM2-LM'
'NEP','GLB','SSP126',-0.035209794,493.5325278,'NorESM2-LM'
'NEP','GLB','SSP126',0.039851566,1283.819887,'NorESM2-LM'
'NEP','GLB','SSP126',0.105069642,2233.065519,'NorESM2-LM'
'NEP','GLB','SSP126',0.14603048,-330.7379322,'NorESM2-LM'
'NEP','GLB','SSP126',0.071387066,1519.166677,'NorESM2-LM'
'NEP','GLB','SSP126',-0.03317824,1813.301492,'NorESM2-LM'
'NEP','GLB','SSP126',0.181162064,1327.971137,'NorESM2-LM'
'NEP','GLB','SSP126',0.391267668,805.3923553,'NorESM2-LM'
'NEP','GLB','SSP126',0.653893822,323.8159439,'NorESM2-LM'
'NEP','GLB','SSP126',0.296366497,909.4300976,'NorESM2-LM'
'NEP','GLB','SSP126',0.028509533,2411.495069,'NorESM2-LM'
'NEP','GLB','SSP126',0.172735879,2144.459249,'NorESM2-LM'
'NEP','GLB','SSP126',0.275602622,842.2458821,'NorESM2-LM'
'NEP','GLB','SSP126',0.294395068,740.865204,'NorESM2-LM'
'NEP','GLB','SSP126',0.272366252,711.0973065,'NorESM2-LM'
'NEP','GLB','SSP126',0.168386814,2251.504847,'NorESM2-LM'
'NEP','GLB','SSP126',-0.153469406,2429.630461,'NorESM2-LM'
'NEP','GLB','SSP126',0.069132711,1401.418312,'NorESM2-LM'
'NEP','GLB','SSP126',0.207498122,1495.015217,'NorESM2-LM'
'NEP','GLB','SSP126',0.583943543,768.9409994,'NorESM2-LM'
'NEP','GLB','SSP126',0.37130252,710.8023519,'NorESM2-LM'
'NEP','GLB','SSP126',0.366840368,1509.785777,'NorESM2-LM'
'NEP','GLB','SSP126',0.052466202,2091.045616,'NorESM2-LM'
'NEP','GLB','SSP126',0.243341928,1990.93281,'NorESM2-LM'
'NEP','GLB','SSP126',0.266477413,462.8697567,'NorESM2-LM'
'NEP','GLB','SSP126',0.449149803,833.7843695,'NorESM2-LM'
'NEP','GLB','SSP126',0.369622399,2870.208603,'NorESM2-LM'
'NEP','GLB','SSP126',0.43174439,1757.611309,'NorESM2-LM'
'NEP','GLB','SSP126',0.386054625,670.4873878,'NorESM2-LM'
'NEP','GLB','SSP126',0.297825593,720.2622195,'NorESM2-LM'
